Question	Answer	Non-answer	Hint	Category
Organization Map	An articulation of the relationships between the primary entities that make up the enterprise, its partners, and stakeholders.	A model that describes how and with what the architecture will be described in a structured way.|A defined, repeatable approach to address a particular type of problem.|A technique through construction of models which enables a subject to be represented in a form that enables reasoning, insight, and clarity concerning the essence of the subject matter.|Conventions for a type of modeling.|A time-bounded milestone for an organization used to demonstrate progress towards a goal; for example, "Increase capacity utilization by 30% by the end of 2019 to support the planned increase in market share".|An articulation of the relationships between the primary entities that make up the enterprise, its partners, and stakeholders.|A technique for putting building blocks into context; for example, to describe a re-usable solution to a problem.|A description of a real-world entity. Physical elements in an Enterprise Architecture may still be considerably abstracted from Solution Architecture, design, or implementation views.|See 3.16 Architecture Principle .|An abstract framework for understanding significant relationships among the entities of [an] environment, and for the development of consistent standards or specifications supporting that environment.|A system that manages all of the data of an enterprise, including data and process models and other enterprise information.|A statement of need that must be met by a particular architecture or work package.		definition
Pattern	A technique for putting building blocks into context; for example, to describe a re-usable solution to a problem.	A model that describes how and with what the architecture will be described in a structured way.|A defined, repeatable approach to address a particular type of problem.|A technique through construction of models which enables a subject to be represented in a form that enables reasoning, insight, and clarity concerning the essence of the subject matter.|Conventions for a type of modeling.|A time-bounded milestone for an organization used to demonstrate progress towards a goal; for example, "Increase capacity utilization by 30% by the end of 2019 to support the planned increase in market share".|An articulation of the relationships between the primary entities that make up the enterprise, its partners, and stakeholders.|A technique for putting building blocks into context; for example, to describe a re-usable solution to a problem.|A description of a real-world entity. Physical elements in an Enterprise Architecture may still be considerably abstracted from Solution Architecture, design, or implementation views.|See 3.16 Architecture Principle .|An abstract framework for understanding significant relationships among the entities of [an] environment, and for the development of consistent standards or specifications supporting that environment.|A system that manages all of the data of an enterprise, including data and process models and other enterprise information.|A statement of need that must be met by a particular architecture or work package.		definition
Physical	A description of a real-world entity. Physical elements in an Enterprise Architecture may still be considerably abstracted from Solution Architecture, design, or implementation views.	A model that describes how and with what the architecture will be described in a structured way.|A defined, repeatable approach to address a particular type of problem.|A technique through construction of models which enables a subject to be represented in a form that enables reasoning, insight, and clarity concerning the essence of the subject matter.|Conventions for a type of modeling.|A time-bounded milestone for an organization used to demonstrate progress towards a goal; for example, "Increase capacity utilization by 30% by the end of 2019 to support the planned increase in market share".|An articulation of the relationships between the primary entities that make up the enterprise, its partners, and stakeholders.|A technique for putting building blocks into context; for example, to describe a re-usable solution to a problem.|A description of a real-world entity. Physical elements in an Enterprise Architecture may still be considerably abstracted from Solution Architecture, design, or implementation views.|See 3.16 Architecture Principle .|An abstract framework for understanding significant relationships among the entities of [an] environment, and for the development of consistent standards or specifications supporting that environment.|A system that manages all of the data of an enterprise, including data and process models and other enterprise information.|A statement of need that must be met by a particular architecture or work package.		definition
Principle	See 3.16 Architecture Principle .	A model that describes how and with what the architecture will be described in a structured way.|A defined, repeatable approach to address a particular type of problem.|A technique through construction of models which enables a subject to be represented in a form that enables reasoning, insight, and clarity concerning the essence of the subject matter.|Conventions for a type of modeling.|A time-bounded milestone for an organization used to demonstrate progress towards a goal; for example, "Increase capacity utilization by 30% by the end of 2019 to support the planned increase in market share".|An articulation of the relationships between the primary entities that make up the enterprise, its partners, and stakeholders.|A technique for putting building blocks into context; for example, to describe a re-usable solution to a problem.|A description of a real-world entity. Physical elements in an Enterprise Architecture may still be considerably abstracted from Solution Architecture, design, or implementation views.|See 3.16 Architecture Principle .|An abstract framework for understanding significant relationships among the entities of [an] environment, and for the development of consistent standards or specifications supporting that environment.|A system that manages all of the data of an enterprise, including data and process models and other enterprise information.|A statement of need that must be met by a particular architecture or work package.		definition
Reference Model (RM)	An abstract framework for understanding significant relationships among the entities of [an] environment, and for the development of consistent standards or specifications supporting that environment.	A model that describes how and with what the architecture will be described in a structured way.|A defined, repeatable approach to address a particular type of problem.|A technique through construction of models which enables a subject to be represented in a form that enables reasoning, insight, and clarity concerning the essence of the subject matter.|Conventions for a type of modeling.|A time-bounded milestone for an organization used to demonstrate progress towards a goal; for example, "Increase capacity utilization by 30% by the end of 2019 to support the planned increase in market share".|An articulation of the relationships between the primary entities that make up the enterprise, its partners, and stakeholders.|A technique for putting building blocks into context; for example, to describe a re-usable solution to a problem.|A description of a real-world entity. Physical elements in an Enterprise Architecture may still be considerably abstracted from Solution Architecture, design, or implementation views.|See 3.16 Architecture Principle .|An abstract framework for understanding significant relationships among the entities of [an] environment, and for the development of consistent standards or specifications supporting that environment.|A system that manages all of the data of an enterprise, including data and process models and other enterprise information.|A statement of need that must be met by a particular architecture or work package.		definition
Repository	A system that manages all of the data of an enterprise, including data and process models and other enterprise information.	A model that describes how and with what the architecture will be described in a structured way.|A defined, repeatable approach to address a particular type of problem.|A technique through construction of models which enables a subject to be represented in a form that enables reasoning, insight, and clarity concerning the essence of the subject matter.|Conventions for a type of modeling.|A time-bounded milestone for an organization used to demonstrate progress towards a goal; for example, "Increase capacity utilization by 30% by the end of 2019 to support the planned increase in market share".|An articulation of the relationships between the primary entities that make up the enterprise, its partners, and stakeholders.|A technique for putting building blocks into context; for example, to describe a re-usable solution to a problem.|A description of a real-world entity. Physical elements in an Enterprise Architecture may still be considerably abstracted from Solution Architecture, design, or implementation views.|See 3.16 Architecture Principle .|An abstract framework for understanding significant relationships among the entities of [an] environment, and for the development of consistent standards or specifications supporting that environment.|A system that manages all of the data of an enterprise, including data and process models and other enterprise information.|A statement of need that must be met by a particular architecture or work package.		definition
Requirement	A statement of need that must be met by a particular architecture or work package.	A model that describes how and with what the architecture will be described in a structured way.|A defined, repeatable approach to address a particular type of problem.|A technique through construction of models which enables a subject to be represented in a form that enables reasoning, insight, and clarity concerning the essence of the subject matter.|Conventions for a type of modeling.|A time-bounded milestone for an organization used to demonstrate progress towards a goal; for example, "Increase capacity utilization by 30% by the end of 2019 to support the planned increase in market share".|An articulation of the relationships between the primary entities that make up the enterprise, its partners, and stakeholders.|A technique for putting building blocks into context; for example, to describe a re-usable solution to a problem.|A description of a real-world entity. Physical elements in an Enterprise Architecture may still be considerably abstracted from Solution Architecture, design, or implementation views.|See 3.16 Architecture Principle .|An abstract framework for understanding significant relationships among the entities of [an] environment, and for the development of consistent standards or specifications supporting that environment.|A system that manages all of the data of an enterprise, including data and process models and other enterprise information.|A statement of need that must be met by a particular architecture or work package.		definition
Roadmap	An abstracted plan for business or technology change, typically operating across multiple disciplines over multiple years. Normally used in the phrases Technology Roadmap, Architecture Roadmap, etc.	A statement of need that must be met by a particular architecture or work package.|An abstracted plan for business or technology change, typically operating across multiple disciplines over multiple years. Normally used in the phrases Technology Roadmap, Architecture Roadmap, etc.|The usual or expected function of an actor, or the part somebody or something plays in a particular action or event. An actor may have a number of roles.|The part an individual plays in an organization and the contribution they make through the application of their skills, knowledge, experience, and abilities.|A detailed, formal description of areas within an enterprise, used at the program or portfolio level to organize and align change activity.|A repeatable activity; a discrete behavior that a building block may be requested or otherwise triggered to perform.|Viewing an enterprise, system, or building block in terms of services provided and consumed.|See also 3.6 Architectural Style and 3.66 Service Orientation .|A collection of services, potentially an interface definition.|A description of a discrete and focused business operation or activity and how IS/IT supports that operation.|A candidate solution which conforms to the specification of an Architecture Building Block (ABB).|A part of the Enterprise Continuum. A repository of re-usable solutions for future implementation efforts. It contains implementations of the corresponding definitions in the Architecture Continuum.|An individual, team, organization, or class thereof, having an interest in a system.|A database of standards that can be used to define the particular services and other components of an Organization-Specific Architecture.|A summary formal description of the enterprise, providing an organizing framework for operational and change activity, and an executive-level, long-term view for direction setting.|The description of a future state of the architecture being developed for an organization.|The organized collection of all architecture views pertinent to an architecture.|A description of the structure and interaction of the technology services and technology components.|A technology building block. A generic infrastructure technology that supports and enables application or data components (directly or indirectly) by providing technology services.|An encapsulation of technology infrastructure that represents a class of technology product or specific technology product.|A technical capability required to provide enabling infrastructure that supports the delivery of applications.|A formal description of one state of the architecture at an architecturally significant point in time.|Where a view is "seen" from.|A representation of a system from the perspective of a related concern.|What is seen from a viewpoint|A representation of an end-to-end collection of value-adding activities that create an overall result for a customer, stakeholder, or end user.|A collection of the specifications of architecture viewpoints contained in the Reference Library portion of the Architecture Repository.|A set of actions identified to achieve one or more objectives for the business. A work package can be a part of a project, a complete project, or a program.		definition
Role	The usual or expected function of an actor, or the part somebody or something plays in a particular action or event. An actor may have a number of roles.|The part an individual plays in an organization and the contribution they make through the application of their skills, knowledge, experience, and abilities.	A statement of need that must be met by a particular architecture or work package.|An abstracted plan for business or technology change, typically operating across multiple disciplines over multiple years. Normally used in the phrases Technology Roadmap, Architecture Roadmap, etc.|The usual or expected function of an actor, or the part somebody or something plays in a particular action or event. An actor may have a number of roles.|The part an individual plays in an organization and the contribution they make through the application of their skills, knowledge, experience, and abilities.|A detailed, formal description of areas within an enterprise, used at the program or portfolio level to organize and align change activity.|A repeatable activity; a discrete behavior that a building block may be requested or otherwise triggered to perform.|Viewing an enterprise, system, or building block in terms of services provided and consumed.|See also 3.6 Architectural Style and 3.66 Service Orientation .|A collection of services, potentially an interface definition.|A description of a discrete and focused business operation or activity and how IS/IT supports that operation.|A candidate solution which conforms to the specification of an Architecture Building Block (ABB).|A part of the Enterprise Continuum. A repository of re-usable solutions for future implementation efforts. It contains implementations of the corresponding definitions in the Architecture Continuum.|An individual, team, organization, or class thereof, having an interest in a system.|A database of standards that can be used to define the particular services and other components of an Organization-Specific Architecture.|A summary formal description of the enterprise, providing an organizing framework for operational and change activity, and an executive-level, long-term view for direction setting.|The description of a future state of the architecture being developed for an organization.|The organized collection of all architecture views pertinent to an architecture.|A description of the structure and interaction of the technology services and technology components.|A technology building block. A generic infrastructure technology that supports and enables application or data components (directly or indirectly) by providing technology services.|An encapsulation of technology infrastructure that represents a class of technology product or specific technology product.|A technical capability required to provide enabling infrastructure that supports the delivery of applications.|A formal description of one state of the architecture at an architecturally significant point in time.|Where a view is "seen" from.|A representation of a system from the perspective of a related concern.|What is seen from a viewpoint|A representation of an end-to-end collection of value-adding activities that create an overall result for a customer, stakeholder, or end user.|A collection of the specifications of architecture viewpoints contained in the Reference Library portion of the Architecture Repository.|A set of actions identified to achieve one or more objectives for the business. A work package can be a part of a project, a complete project, or a program.		definition
Segment Architecture	A detailed, formal description of areas within an enterprise, used at the program or portfolio level to organize and align change activity.	A statement of need that must be met by a particular architecture or work package.|An abstracted plan for business or technology change, typically operating across multiple disciplines over multiple years. Normally used in the phrases Technology Roadmap, Architecture Roadmap, etc.|The usual or expected function of an actor, or the part somebody or something plays in a particular action or event. An actor may have a number of roles.|The part an individual plays in an organization and the contribution they make through the application of their skills, knowledge, experience, and abilities.|A detailed, formal description of areas within an enterprise, used at the program or portfolio level to organize and align change activity.|A repeatable activity; a discrete behavior that a building block may be requested or otherwise triggered to perform.|Viewing an enterprise, system, or building block in terms of services provided and consumed.|See also 3.6 Architectural Style and 3.66 Service Orientation .|A collection of services, potentially an interface definition.|A description of a discrete and focused business operation or activity and how IS/IT supports that operation.|A candidate solution which conforms to the specification of an Architecture Building Block (ABB).|A part of the Enterprise Continuum. A repository of re-usable solutions for future implementation efforts. It contains implementations of the corresponding definitions in the Architecture Continuum.|An individual, team, organization, or class thereof, having an interest in a system.|A database of standards that can be used to define the particular services and other components of an Organization-Specific Architecture.|A summary formal description of the enterprise, providing an organizing framework for operational and change activity, and an executive-level, long-term view for direction setting.|The description of a future state of the architecture being developed for an organization.|The organized collection of all architecture views pertinent to an architecture.|A description of the structure and interaction of the technology services and technology components.|A technology building block. A generic infrastructure technology that supports and enables application or data components (directly or indirectly) by providing technology services.|An encapsulation of technology infrastructure that represents a class of technology product or specific technology product.|A technical capability required to provide enabling infrastructure that supports the delivery of applications.|A formal description of one state of the architecture at an architecturally significant point in time.|Where a view is "seen" from.|A representation of a system from the perspective of a related concern.|What is seen from a viewpoint|A representation of an end-to-end collection of value-adding activities that create an overall result for a customer, stakeholder, or end user.|A collection of the specifications of architecture viewpoints contained in the Reference Library portion of the Architecture Repository.|A set of actions identified to achieve one or more objectives for the business. A work package can be a part of a project, a complete project, or a program.		definition
Service	A repeatable activity; a discrete behavior that a building block may be requested or otherwise triggered to perform.	A statement of need that must be met by a particular architecture or work package.|An abstracted plan for business or technology change, typically operating across multiple disciplines over multiple years. Normally used in the phrases Technology Roadmap, Architecture Roadmap, etc.|The usual or expected function of an actor, or the part somebody or something plays in a particular action or event. An actor may have a number of roles.|The part an individual plays in an organization and the contribution they make through the application of their skills, knowledge, experience, and abilities.|A detailed, formal description of areas within an enterprise, used at the program or portfolio level to organize and align change activity.|A repeatable activity; a discrete behavior that a building block may be requested or otherwise triggered to perform.|Viewing an enterprise, system, or building block in terms of services provided and consumed.|See also 3.6 Architectural Style and 3.66 Service Orientation .|A collection of services, potentially an interface definition.|A description of a discrete and focused business operation or activity and how IS/IT supports that operation.|A candidate solution which conforms to the specification of an Architecture Building Block (ABB).|A part of the Enterprise Continuum. A repository of re-usable solutions for future implementation efforts. It contains implementations of the corresponding definitions in the Architecture Continuum.|An individual, team, organization, or class thereof, having an interest in a system.|A database of standards that can be used to define the particular services and other components of an Organization-Specific Architecture.|A summary formal description of the enterprise, providing an organizing framework for operational and change activity, and an executive-level, long-term view for direction setting.|The description of a future state of the architecture being developed for an organization.|The organized collection of all architecture views pertinent to an architecture.|A description of the structure and interaction of the technology services and technology components.|A technology building block. A generic infrastructure technology that supports and enables application or data components (directly or indirectly) by providing technology services.|An encapsulation of technology infrastructure that represents a class of technology product or specific technology product.|A technical capability required to provide enabling infrastructure that supports the delivery of applications.|A formal description of one state of the architecture at an architecturally significant point in time.|Where a view is "seen" from.|A representation of a system from the perspective of a related concern.|What is seen from a viewpoint|A representation of an end-to-end collection of value-adding activities that create an overall result for a customer, stakeholder, or end user.|A collection of the specifications of architecture viewpoints contained in the Reference Library portion of the Architecture Repository.|A set of actions identified to achieve one or more objectives for the business. A work package can be a part of a project, a complete project, or a program.		definition
Service Orientation	Viewing an enterprise, system, or building block in terms of services provided and consumed.	A statement of need that must be met by a particular architecture or work package.|An abstracted plan for business or technology change, typically operating across multiple disciplines over multiple years. Normally used in the phrases Technology Roadmap, Architecture Roadmap, etc.|The usual or expected function of an actor, or the part somebody or something plays in a particular action or event. An actor may have a number of roles.|The part an individual plays in an organization and the contribution they make through the application of their skills, knowledge, experience, and abilities.|A detailed, formal description of areas within an enterprise, used at the program or portfolio level to organize and align change activity.|A repeatable activity; a discrete behavior that a building block may be requested or otherwise triggered to perform.|Viewing an enterprise, system, or building block in terms of services provided and consumed.|See also 3.6 Architectural Style and 3.66 Service Orientation .|A collection of services, potentially an interface definition.|A description of a discrete and focused business operation or activity and how IS/IT supports that operation.|A candidate solution which conforms to the specification of an Architecture Building Block (ABB).|A part of the Enterprise Continuum. A repository of re-usable solutions for future implementation efforts. It contains implementations of the corresponding definitions in the Architecture Continuum.|An individual, team, organization, or class thereof, having an interest in a system.|A database of standards that can be used to define the particular services and other components of an Organization-Specific Architecture.|A summary formal description of the enterprise, providing an organizing framework for operational and change activity, and an executive-level, long-term view for direction setting.|The description of a future state of the architecture being developed for an organization.|The organized collection of all architecture views pertinent to an architecture.|A description of the structure and interaction of the technology services and technology components.|A technology building block. A generic infrastructure technology that supports and enables application or data components (directly or indirectly) by providing technology services.|An encapsulation of technology infrastructure that represents a class of technology product or specific technology product.|A technical capability required to provide enabling infrastructure that supports the delivery of applications.|A formal description of one state of the architecture at an architecturally significant point in time.|Where a view is "seen" from.|A representation of a system from the perspective of a related concern.|What is seen from a viewpoint|A representation of an end-to-end collection of value-adding activities that create an overall result for a customer, stakeholder, or end user.|A collection of the specifications of architecture viewpoints contained in the Reference Library portion of the Architecture Repository.|A set of actions identified to achieve one or more objectives for the business. A work package can be a part of a project, a complete project, or a program.		definition
Service-Oriented Architecture (SOA)	See also 3.6 Architectural Style and 3.66 Service Orientation .	A statement of need that must be met by a particular architecture or work package.|An abstracted plan for business or technology change, typically operating across multiple disciplines over multiple years. Normally used in the phrases Technology Roadmap, Architecture Roadmap, etc.|The usual or expected function of an actor, or the part somebody or something plays in a particular action or event. An actor may have a number of roles.|The part an individual plays in an organization and the contribution they make through the application of their skills, knowledge, experience, and abilities.|A detailed, formal description of areas within an enterprise, used at the program or portfolio level to organize and align change activity.|A repeatable activity; a discrete behavior that a building block may be requested or otherwise triggered to perform.|Viewing an enterprise, system, or building block in terms of services provided and consumed.|See also 3.6 Architectural Style and 3.66 Service Orientation .|A collection of services, potentially an interface definition.|A description of a discrete and focused business operation or activity and how IS/IT supports that operation.|A candidate solution which conforms to the specification of an Architecture Building Block (ABB).|A part of the Enterprise Continuum. A repository of re-usable solutions for future implementation efforts. It contains implementations of the corresponding definitions in the Architecture Continuum.|An individual, team, organization, or class thereof, having an interest in a system.|A database of standards that can be used to define the particular services and other components of an Organization-Specific Architecture.|A summary formal description of the enterprise, providing an organizing framework for operational and change activity, and an executive-level, long-term view for direction setting.|The description of a future state of the architecture being developed for an organization.|The organized collection of all architecture views pertinent to an architecture.|A description of the structure and interaction of the technology services and technology components.|A technology building block. A generic infrastructure technology that supports and enables application or data components (directly or indirectly) by providing technology services.|An encapsulation of technology infrastructure that represents a class of technology product or specific technology product.|A technical capability required to provide enabling infrastructure that supports the delivery of applications.|A formal description of one state of the architecture at an architecturally significant point in time.|Where a view is "seen" from.|A representation of a system from the perspective of a related concern.|What is seen from a viewpoint|A representation of an end-to-end collection of value-adding activities that create an overall result for a customer, stakeholder, or end user.|A collection of the specifications of architecture viewpoints contained in the Reference Library portion of the Architecture Repository.|A set of actions identified to achieve one or more objectives for the business. A work package can be a part of a project, a complete project, or a program.		definition
Service Portfolio	A collection of services, potentially an interface definition.	A statement of need that must be met by a particular architecture or work package.|An abstracted plan for business or technology change, typically operating across multiple disciplines over multiple years. Normally used in the phrases Technology Roadmap, Architecture Roadmap, etc.|The usual or expected function of an actor, or the part somebody or something plays in a particular action or event. An actor may have a number of roles.|The part an individual plays in an organization and the contribution they make through the application of their skills, knowledge, experience, and abilities.|A detailed, formal description of areas within an enterprise, used at the program or portfolio level to organize and align change activity.|A repeatable activity; a discrete behavior that a building block may be requested or otherwise triggered to perform.|Viewing an enterprise, system, or building block in terms of services provided and consumed.|See also 3.6 Architectural Style and 3.66 Service Orientation .|A collection of services, potentially an interface definition.|A description of a discrete and focused business operation or activity and how IS/IT supports that operation.|A candidate solution which conforms to the specification of an Architecture Building Block (ABB).|A part of the Enterprise Continuum. A repository of re-usable solutions for future implementation efforts. It contains implementations of the corresponding definitions in the Architecture Continuum.|An individual, team, organization, or class thereof, having an interest in a system.|A database of standards that can be used to define the particular services and other components of an Organization-Specific Architecture.|A summary formal description of the enterprise, providing an organizing framework for operational and change activity, and an executive-level, long-term view for direction setting.|The description of a future state of the architecture being developed for an organization.|The organized collection of all architecture views pertinent to an architecture.|A description of the structure and interaction of the technology services and technology components.|A technology building block. A generic infrastructure technology that supports and enables application or data components (directly or indirectly) by providing technology services.|An encapsulation of technology infrastructure that represents a class of technology product or specific technology product.|A technical capability required to provide enabling infrastructure that supports the delivery of applications.|A formal description of one state of the architecture at an architecturally significant point in time.|Where a view is "seen" from.|A representation of a system from the perspective of a related concern.|What is seen from a viewpoint|A representation of an end-to-end collection of value-adding activities that create an overall result for a customer, stakeholder, or end user.|A collection of the specifications of architecture viewpoints contained in the Reference Library portion of the Architecture Repository.|A set of actions identified to achieve one or more objectives for the business. A work package can be a part of a project, a complete project, or a program.		definition
Solution Architecture	A description of a discrete and focused business operation or activity and how IS/IT supports that operation.	A statement of need that must be met by a particular architecture or work package.|An abstracted plan for business or technology change, typically operating across multiple disciplines over multiple years. Normally used in the phrases Technology Roadmap, Architecture Roadmap, etc.|The usual or expected function of an actor, or the part somebody or something plays in a particular action or event. An actor may have a number of roles.|The part an individual plays in an organization and the contribution they make through the application of their skills, knowledge, experience, and abilities.|A detailed, formal description of areas within an enterprise, used at the program or portfolio level to organize and align change activity.|A repeatable activity; a discrete behavior that a building block may be requested or otherwise triggered to perform.|Viewing an enterprise, system, or building block in terms of services provided and consumed.|See also 3.6 Architectural Style and 3.66 Service Orientation .|A collection of services, potentially an interface definition.|A description of a discrete and focused business operation or activity and how IS/IT supports that operation.|A candidate solution which conforms to the specification of an Architecture Building Block (ABB).|A part of the Enterprise Continuum. A repository of re-usable solutions for future implementation efforts. It contains implementations of the corresponding definitions in the Architecture Continuum.|An individual, team, organization, or class thereof, having an interest in a system.|A database of standards that can be used to define the particular services and other components of an Organization-Specific Architecture.|A summary formal description of the enterprise, providing an organizing framework for operational and change activity, and an executive-level, long-term view for direction setting.|The description of a future state of the architecture being developed for an organization.|The organized collection of all architecture views pertinent to an architecture.|A description of the structure and interaction of the technology services and technology components.|A technology building block. A generic infrastructure technology that supports and enables application or data components (directly or indirectly) by providing technology services.|An encapsulation of technology infrastructure that represents a class of technology product or specific technology product.|A technical capability required to provide enabling infrastructure that supports the delivery of applications.|A formal description of one state of the architecture at an architecturally significant point in time.|Where a view is "seen" from.|A representation of a system from the perspective of a related concern.|What is seen from a viewpoint|A representation of an end-to-end collection of value-adding activities that create an overall result for a customer, stakeholder, or end user.|A collection of the specifications of architecture viewpoints contained in the Reference Library portion of the Architecture Repository.|A set of actions identified to achieve one or more objectives for the business. A work package can be a part of a project, a complete project, or a program.		definition
Solution Building Block (SBB)	A candidate solution which conforms to the specification of an Architecture Building Block (ABB).	A statement of need that must be met by a particular architecture or work package.|An abstracted plan for business or technology change, typically operating across multiple disciplines over multiple years. Normally used in the phrases Technology Roadmap, Architecture Roadmap, etc.|The usual or expected function of an actor, or the part somebody or something plays in a particular action or event. An actor may have a number of roles.|The part an individual plays in an organization and the contribution they make through the application of their skills, knowledge, experience, and abilities.|A detailed, formal description of areas within an enterprise, used at the program or portfolio level to organize and align change activity.|A repeatable activity; a discrete behavior that a building block may be requested or otherwise triggered to perform.|Viewing an enterprise, system, or building block in terms of services provided and consumed.|See also 3.6 Architectural Style and 3.66 Service Orientation .|A collection of services, potentially an interface definition.|A description of a discrete and focused business operation or activity and how IS/IT supports that operation.|A candidate solution which conforms to the specification of an Architecture Building Block (ABB).|A part of the Enterprise Continuum. A repository of re-usable solutions for future implementation efforts. It contains implementations of the corresponding definitions in the Architecture Continuum.|An individual, team, organization, or class thereof, having an interest in a system.|A database of standards that can be used to define the particular services and other components of an Organization-Specific Architecture.|A summary formal description of the enterprise, providing an organizing framework for operational and change activity, and an executive-level, long-term view for direction setting.|The description of a future state of the architecture being developed for an organization.|The organized collection of all architecture views pertinent to an architecture.|A description of the structure and interaction of the technology services and technology components.|A technology building block. A generic infrastructure technology that supports and enables application or data components (directly or indirectly) by providing technology services.|An encapsulation of technology infrastructure that represents a class of technology product or specific technology product.|A technical capability required to provide enabling infrastructure that supports the delivery of applications.|A formal description of one state of the architecture at an architecturally significant point in time.|Where a view is "seen" from.|A representation of a system from the perspective of a related concern.|What is seen from a viewpoint|A representation of an end-to-end collection of value-adding activities that create an overall result for a customer, stakeholder, or end user.|A collection of the specifications of architecture viewpoints contained in the Reference Library portion of the Architecture Repository.|A set of actions identified to achieve one or more objectives for the business. A work package can be a part of a project, a complete project, or a program.		definition
Solutions Continuum	A part of the Enterprise Continuum. A repository of re-usable solutions for future implementation efforts. It contains implementations of the corresponding definitions in the Architecture Continuum.	A statement of need that must be met by a particular architecture or work package.|An abstracted plan for business or technology change, typically operating across multiple disciplines over multiple years. Normally used in the phrases Technology Roadmap, Architecture Roadmap, etc.|The usual or expected function of an actor, or the part somebody or something plays in a particular action or event. An actor may have a number of roles.|The part an individual plays in an organization and the contribution they make through the application of their skills, knowledge, experience, and abilities.|A detailed, formal description of areas within an enterprise, used at the program or portfolio level to organize and align change activity.|A repeatable activity; a discrete behavior that a building block may be requested or otherwise triggered to perform.|Viewing an enterprise, system, or building block in terms of services provided and consumed.|See also 3.6 Architectural Style and 3.66 Service Orientation .|A collection of services, potentially an interface definition.|A description of a discrete and focused business operation or activity and how IS/IT supports that operation.|A candidate solution which conforms to the specification of an Architecture Building Block (ABB).|A part of the Enterprise Continuum. A repository of re-usable solutions for future implementation efforts. It contains implementations of the corresponding definitions in the Architecture Continuum.|An individual, team, organization, or class thereof, having an interest in a system.|A database of standards that can be used to define the particular services and other components of an Organization-Specific Architecture.|A summary formal description of the enterprise, providing an organizing framework for operational and change activity, and an executive-level, long-term view for direction setting.|The description of a future state of the architecture being developed for an organization.|The organized collection of all architecture views pertinent to an architecture.|A description of the structure and interaction of the technology services and technology components.|A technology building block. A generic infrastructure technology that supports and enables application or data components (directly or indirectly) by providing technology services.|An encapsulation of technology infrastructure that represents a class of technology product or specific technology product.|A technical capability required to provide enabling infrastructure that supports the delivery of applications.|A formal description of one state of the architecture at an architecturally significant point in time.|Where a view is "seen" from.|A representation of a system from the perspective of a related concern.|What is seen from a viewpoint|A representation of an end-to-end collection of value-adding activities that create an overall result for a customer, stakeholder, or end user.|A collection of the specifications of architecture viewpoints contained in the Reference Library portion of the Architecture Repository.|A set of actions identified to achieve one or more objectives for the business. A work package can be a part of a project, a complete project, or a program.		definition
